PERIODO,NIU,DIUG,FIUG,CEC,VCD,VCF,GRUPO_CALIDAD_x,NIVEL_TENSION_x,CARGO_DISTRIBUCION,CONSUMO_MES,MES_FACTURADOS,%_PROP._ACTIVO,COMPENSADO,ALTITUD,LONGITUD,LATITUD
2025-08,1536135,11.1,12,0.0,0.0,0.0,21,1,398.37,285.0,1,100,0,1052.0,-76.229585,3.320519
2025-08,1359078,40.96,23,0.0,0.0,0.0,31,1,398.37,174.0,1,100,0,948.0,-76.459266,3.410488
2025-07,3665927,11.91,11,85.0,6782.952,0.0,22,1,398.997,85.0,1,100,1,940.0,-75.969506,4.576538
2025-08,2039492,11.1,12,0.0,0.0,0.0,21,1,398.37,67.0,1,100,0,959.0,-76.159252,4.410202
2025-07,1815348,10.87,11,64.0,5107.164,0.0,11,1,398.997,64.0,1,100,1,1008.0,-76.291151,3.516115
2025-08,1972114,57.02,26,0.0,0.0,0.0,32,1,398.37,0.0,2,100,0,937.0,-76.163558,4.226244
2025-07,4166655,57.02,26,0.0,0.0,0.0,32,1,398.997,0.0,2,100,1,1815.0,-76.734946,3.168383
2025-08,1835379,40.96,23,94.259,0.0,7509.963,31,1,398.37,187.0,2,100,1,1011.0,-76.292396,3.306542
2025-07,4133003,10.25,13,0.0,0.0,0.0,12,1,398.997,124.0,1,100,0,974.0,-76.301155,3.886696
2025-08,3201530,10.87,11,0.0,0.0,0.0,11,1,398.37,184.0,1,100,0,995.0,-76.314755,3.549288
2025-08,1121720,11.91,11,153.01,12190.961,0.0,22,1,398.37,151.0,1,100,1,1395.0,-76.521849,3.820804
2025-07,2021384,11.1,12,0.0,0.0,0.0,21,1,398.997,48.0,1,100,0,1456.0,-76.236817,4.504538
2025-07,20230652423,10.87,11,679.0,54183.814,0.0,11,1,398.997,679.0,1,100,1,1020.0,-76.287265,3.526469
2025-07,1909379,40.96,23,0.0,0.0,0.0,31,1,398.997,0.0,2,100,1,1802.0,-76.226074,4.456715
2025-07,3920554,8.49,7,0.0,0.0,0.0,13,1,398.997,97.0,1,100,0,32.0,-77.000835,3.878491
2025-07,1116388,40.96,23,0.0,0.0,0.0,31,1,398.997,89.0,2,100,0,1399.0,-76.593624,3.672536
2025-07,1275876,10.25,13,0.0,0.0,0.0,12,1,398.997,88.0,1,100,0,972.0,-76.534798,3.257877
2025-07,20240188024,10.25,13,0.0,0.0,0.0,12,1,398.997,0.0,2,100,0,1050.0,-76.287957,3.901452
2025-07,1450614,10.87,11,0.0,0.0,0.0,11,1,398.997,101.0,1,100,0,1000.0,-76.312783,3.543458
2025-07,4178608,40.96,23,0.0,0.0,0.0,31,1,398.997,0.0,2,100,1,844.0,-76.357663,4.490825
2025-08,4130943,57.02,26,114.873,9152.38,0.0,32,1,398.37,113.0,1,100,1,1777.0,-76.679362,3.213994
2025-08,1634412,8.49,7,0.0,0.0,0.0,13,1,398.37,45.0,1,100,0,32.0,-76.982365,3.865278
2025-07,3772849,10.87,11,160.114,12777.024,0.0,11,1,398.997,160.0,1,100,1,1005.0,-76.309073,3.542998
2025-08,1948832,11.91,11,0.0,0.0,0.0,22,1,398.37,105.0,1,100,0,1623.0,-75.931027,4.265507
2025-08,20250032707,57.02,26,0.0,0.0,0.0,32,1,326.865,0.0,2,0,0,979.0,-76.523419,3.22595
2025-07,1687368,57.02,26,0.0,0.0,0.0,32,1,398.997,318.0,2,100,0,1069.0,-76.24524,3.660404
2025-08,1323708,40.96,23,0.0,0.0,0.0,31,1,398.37,168.0,1,100,0,991.0,-76.327108,3.378666
2025-08,3476611,40.96,23,0.0,0.0,0.0,31,1,398.37,76.0,1,100,0,962.0,-76.392137,3.398899
2025-07,1302602,11.1,12,0.0,0.0,0.0,21,1,398.997,141.0,1,100,0,1082.0,-76.233204,3.418498
2025-07,3961722,10.87,11,0.0,0.0,0.0,11,1,398.997,70.0,1,100,0,1020.0,-76.284934,3.53753
2025-08,3502373,40.96,23,194.271,0.0,15478.326,31,1,398.37,388.0,2,100,1,954.0,-76.439506,3.509713
2025-07,1333804,11.1,12,17.012,1357.549,0.0,21,1,398.997,17.0,1,100,1,1055.0,-76.244239,3.419701
2025-07,1162108,40.96,23,0.0,0.0,0.0,31,1,398.997,172.0,2,100,0,1498.0,-76.439079,3.971169
2025-08,3363881,10.25,13,0.0,0.0,0.0,12,1,398.37,135.0,1,100,0,974.0,-76.537904,3.254805
2025-08,3676251,10.87,11,47.1,3752.673,0.0,11,1,398.37,47.0,1,100,1,1001.0,-76.308836,3.530843
